device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price
Lenovo,Android,16.23,yes,yes,8,32,128,6,4000,185,2019,401,5.347964306,5.996626203
Lenovo,Android,15.32,yes,no,8,16,64,4,4050,164,2019,424,4.541058241,5.06594385
Lenovo,Android,25.43,yes,no,8,8,16,2,8400,655,2016,902,4.866995844,5.188335076
LG,Android,16.59,yes,no,5,16,64,4,4000,196.5,2020,195,4.739963282,5.595157377
LG,Android,15.44,yes,no,5,13,64,3,4000,219,2020,126,4.720550337,5.296916386
LG,Others,5.28,yes,no,2,13,8,1,1470,127,2020,202,3.758405517,5.021377391
LG,Android,15.44,yes,yes,5,10,128,8,5000,218,2020,234,5.412047757,6.768504706
LG,Android,15.44,yes,yes,5,10,128,8,5000,213,2020,248,4.633951987,6.550094135
LG,Android,15.37,yes,no,5,13,32,3,4000,196.5,2020,205,4.232801305,5.483218926
LG,Android,14.5,yes,no,8,8,32,3,3450,170,2020,196,4.319752215,4.862908382
LG,Android,25.43,yes,no,8,5,32,4,8200,498,2019,392,5.021970804,5.832234322
LG,Android,15.34,yes,yes,8,32,256,8,4000,192,2019,471,5.789103535,7.003347237
LG,Android,15.34,yes,no,8,16,64,4,4000,198,2019,517,4.955756633,5.772655339
LG,Android,13.84,yes,no,8,5,16,2,3000,148,2019,438,4.367800927,4.93691699
LG,Android,13.84,yes,no,8,5,16,1,3000,152,2019,393,4.043752776,4.635020208
LG,Android,15.27,yes,no,8,13,32,2,3500,186,2019,273,4.396299294,5.080285727
LG,Android,15.37,yes,no,8,13,32,3,4000,194,2019,344,4.707997496,5.301562097
LG,Android,15.8,yes,no,8,16,64,4,4050,172,2019,289,4.541484634,5.24676088
LG,Android,15.9,yes,no,8,16,32,3,4000,175,2019,482,4.48661185,4.86190324
LG,Android,15.72,yes,no,8,8,32,3,4000,164,2019,516,4.105943698,4.692539832
LG,Android,15.29,yes,no,13,5,32,3,3500,179,2019,463,4.170688129,5.297617121
LG,Android,15.29,yes,no,16,5,64,4,3300,172,2018,693,4.989411658,5.701112246
LG,Android,12.83,yes,no,13,5,16,2,4500,171,2018,393,4.539564429,5.194511198
LG,Android,7.62,no,no,2,1.3,4,0.5,1540,140.45,2014,965,3.131136911,3.931041011
Meizu,Android,15.39,yes,yes,,20,128,8,4500,199,2020,318,5.15358057,6.271536486
Meizu,Android,15.37,yes,no,,16,128,6,4500,183,2019,348,4.74927053,5.526209625
Meizu,Android,15.37,yes,no,,8,32,2,4000,184,2019,198,4.31935304,5.191622628
Meizu,Android,15.29,yes,no,,20,128,6,3600,166,2019,405,4.874891933,5.832351575
Meizu,Android,15.29,yes,no,,16,64,6,4000,165,2019,499,4.80557721,5.395625549
Meizu,Android,15.29,yes,no,,20,128,6,3600,165,2019,226,5.218841165,6.042917829
Micromax,Android,10.16,no,no,2,0.3,0.5,0.25,1500,146.5,2014,900,3.118834471,3.891820298
Micromax,Android,7.75,no,no,0.3,0.3,0.5,0.25,1500,89,2014,757,1.572773928,3.686125666
Micromax,Android,10.03,no,no,2,0.3,0.2,0.25,2000,85,2013,652,3.404857342,4.268997904
Micromax,Android,10.16,no,no,2,0.3,16,4,2000,89,2013,1051,3.302481409,4.083957469
Micromax,Android,7.75,no,no,0.3,0.3,16,4,2000,89,2013,897,2.853015971,3.87036733
Motorola,Android,15.37,yes,no,,16,128,6,5000,210,2020,92,5.034156489,5.697294809
Motorola,Android,15.42,yes,yes,,25,256,12,5000,203,2020,188,5.639812681,7.087982979
Nokia,Android,16.56,yes,no,0.3,8,64,3,4000,200,2020,296,4.160756328,4.996468754
Nokia,Android,13.84,yes,no,0.3,5,16,2,3000,180,2020,293,3.690627925,4.087487775
Nokia,Android,13.84,yes,no,0.3,5,16,2,3000,180,2020,260,3.988243031,4.617888958
Nokia,Others,5.18,no,no,0.3,0,0.06,0.03,1020,90.5,2020,322,2.519308077,3.386422096
Nokia,Others,5.18,no,no,0.3,0,0.1,0.03,1020,91.3,2020,148,2.564949357,3.011605623
Nokia,Android,17.3,yes,yes,0.3,24,64,6,4500,220,2020,127,4.602667056,6.214388074
Nokia,Others,5.18,no,no,0.3,0,0.1,,1200,88.2,2020,327,3.062923523,3.689129423
Nokia,Others,5.18,yes,no,0.3,0,0.1,0.03,1200,86.5,2019,414,2.789322921,3.684620397
OnePlus,Android,16.64,yes,yes,,16,128,8,4300,180,2020,186,5.482927968,6.605054319
OnePlus,Android,16.64,yes,yes,,16,128,8,4300,180,2020,232,5.235164552,6.478525003
OnePlus,Android,16.94,yes,yes,,16,256,12,4085,206,2019,280,5.079850363,6.685761067
OnePlus,Android,16.94,yes,yes,,16,128,6,4000,206,2019,523,5.342525621,6.684361696
Oppo,Android,16.64,yes,yes,,32,128,8,4000,172,2020,293,5.269969331,6.154454616
Oppo,Android,16.33,yes,yes,,32,128,8,4000,183,2020,281,5.047866851,5.911609322
Oppo,Android,16.69,yes,yes,,32,128,6,4000,184,2020,122,5.126045146,5.668017118
Oppo,Android,16.64,yes,yes,,16,128,8,4000,186,2020,200,5.094302196,6.254136457
Oppo,Android,15.29,yes,no,,8,64,3,4230,168,2020,267,4.515026636,4.785907155
Oppo,Android,15.34,yes,yes,,32,128,8,4025,180,2020,218,5.307177995,5.990338914
Oppo,Android,15.34,yes,yes,8,32,128,8,4025,181,2019,330,4.900225013,6.085250839
Oppo,Android,15.37,yes,no,8,8,128,4,4230,180,2019,277,4.514369822,5.006894974
Oppo,Android,15.34,yes,no,8,25,128,6,3600,169.5,2019,344,5.037212309,5.638141123
Oppo,Android,15.34,yes,no,8,32,128,4,4035,186,2019,463,5.093320661,5.793196518
Oppo,Android,16.59,yes,no,8,16,128,6,4020,190,2019,336,5.032266314,5.56202688
Oppo,Android,15.39,yes,yes,8,16,256,8,4065,215,2019,232,5.598384921,6.779649143
Oppo,Android,15.27,yes,no,8,5,32,2,4000,170,2019,282,4.022848561,4.61244367
